Cod_nir;Parcela;Provincia;ID;Individuo;Tubo;N;C;P ;K ;Na ;Mg ;Ca ;Cu ;Zn ;Mn ;Fe 
q1za1;490299;Zamora;1;1;1;1.205;48.285;115.97;5544.19;81.11;525;2425;5.5;20;2080;77
q1za2;490299;Zamora;2;3;2;1.225;49.845;138.57;5250.01;50.81;650;1650;2;13;3420;28
q1za3;490299;Zamora;3;5;3;1.291;49.203;166.03;4807.80;61.53;984.85;3636.36;2.53;24.24;4101.01;77.78
q1za4;490299;Zamora;4;2;4;1.394;49.775;99.62;6557.26;130.29;569.31;3019.8;2.48;17.82;2613.86;84.16
q1za5;490299;Zamora;5;4;5;0.998;48.157;111.19;3644.63;85.3;1435.64;3118.81;1.98;11.88;2891.09;70.3
q1za31;490813;Zamora;6;6;31;1.109;49.756;170.58;4809.68;95.3;717.82;4133.66;1.98;14.85;1148.51;66.34
q1za32;490813;Zamora;7;7;32;1.278;48.43;202.61;6524.77;121.5;675;4925;2;20;1290;96
q1za33;490813;Zamora;8;5;33;1.222;50.388;221.44;5600.29;98.83;926.83;3804.88;1.95;21.46;1004.88;55.61
q1za34;490813;Zamora;9;8;34;1.138;50.246;234.98;4518.42;100.3;1782.18;4133.66;1.98;27.72;1871.29;66.34
q1za35;490813;Zamora;10;10;35;1.098;48.902;164;3801.17;69.62;759.8;2500;1.96;28.43;1490.2;91.18
q1za65;490125;Zamora;11;1;65;1.213;48.959;162.51;6917.00;106.35;1225;3650;2.5;39;2220;165
q1za66;490125;Zamora;12;2;66;0.949;48.814;154.23;5399.28;96.94;1196.17;2799.04;1.44;21.05;1406.7;27.75
q1za67;490125;Zamora;13;6;67;0.806;47.152;148.6;4882.60;104.78;1330.05;7192.12;1.97;24.63;2738.92;53.2
q1za68;490125;Zamora;14;8;68;1.22;49.655;157.96;5382.70;88.55;1699.03;6165.05;1.94;25.24;1834.95;34.95
q1za69;490125;Zamora;15;10;69;1.702;49.044;140.86;5053.89;91.21;800;2625;2;25;1140;18
q1za93;490300;Zamora;16;1;93;1.029;49.413;149.54;4206.33;109.75;1379.31;3645.32;1.97;28.57;1724.14;161.58
q1za94;490300;Zamora;17;2;94;0.862;48.28;200.47;4638.47;110.85;771.14;3731.34;1.49;22.89;1512.44;78.61
q1za95;490300;Zamora;18;3;95;0.966;48.084;227.73;4240.28;108.16;1043.69;4635.92;1.94;28.16;2000;128.16
q1za96;490300;Zamora;19;5;96;0.907;49.955;205.38;4411.60;97.23;934.34;3030.3;1.52;19.19;1272.73;50.51
q1za97;490300;Zamora;20;6;97;1.13;48.702;166.94;3954.67;98.35;1674.76;3883.5;2.43;22.33;2427.18;133.01
q1za119;490525;Zamora;21;2;119;1.639;47.724;97.27;6004.46;130.94;1343.28;4353.23;2.49;27.86;2298.51;67.66
q1za120;490525;Zamora;22;3;120;1.224;49.003;102.38;5740.30;126.55;1800;4450;2.5;30;2840;96
q1za121;490525;Zamora;23;5;121;0.759;48.17;128.18;4930.10;130.76;765.55;3349.28;1.44;17.22;3559.81;35.41
q1za122;490525;Zamora;24;6;122;0.673;48.144;111.92;4281.85;143.87;1127.45;3602.94;1.47;23.53;3176.47;41.18
q1za123;490525;Zamora;25;8;123;1.219;49.588;129.83;5546.19;117.39;845.41;2922.71;2.42;25.12;2560.39;112.08
q1to165;450176;Toledo;26;1;165;1.047;47.927;388.76;6041.91;129.65;1182.27;3694.58;1.97;20.69;1605.91;120.2
q1to166;450176;Toledo;27;2;166;1.052;47.518;291.89;4765.23;131.39;1826.92;5120.19;1.92;25.96;1298.08;75
q1to167;450176;Toledo;28;3;167;1.184;47.873;394.55;6843.96;177.64;1560.98;5024.39;3.41;33.17;936.59;197.07
q1to168;450176;Toledo;29;4;168;1.067;47.388;409.34;5848.69;115.75;1231.53;4433.5;1.97;15.76;1162.56;40.39
q1to169;450176;Toledo;30;8;169;1.037;47.364;306.08;6524.95;93.68;1650.25;5221.67;8.37;28.57;1113.3;61.08
q1to205;450101;Toledo;31;1;205;1.052;48.621;199.15;5627.75;88.83;882.35;3039.22;2.94;20.59;725.49;183.33
q1to206;450101;Toledo;32;2;206;1.085;48.601;115.23;4525.88;66.22;1432.04;3883.5;1.94;17.48;572.82;85.44
q1to207;450101;Toledo;33;3;207;0.956;48.304;140.79;3741.72;80.84;1287.13;3539.6;1.98;17.82;742.57;197.03
q1to208;450101;Toledo;34;5;208;1.633;48.273;213.07;5142.37;129.37;1009.62;3653.85;3.37;24.04;730.77;311.54
q1to209;450101;Toledo;35;6;209;1.364;48.28;193.04;4389.43;145.04;1381.91;5251.26;2.01;28.14;1396.98;131.66
q1to226;450265;Toledo;36;1;226;1.561;48.093;265.37;4540.90;133.87;1442.79;4676.62;1.99;23.88;1014.93;123.38
q1to227;450265;Toledo;37;2;227;1.171;48.542;417.29;4367.48;110.09;1150;3925;2;22;1260;185
q1to228;450265;Toledo;38;3;228;1.21;47.16;307.38;5519.52;152.87;1129.81;5096.15;2.88;22.12;2932.69;151.92
q1to229;450265;Toledo;39;5;229;1.435;48.116;380.72;7042.69;133.21;1386.14;3613.86;3.47;19.8;1752.48;187.13
q1to230;450265;Toledo;40;7;230;1.378;48.017;449.27;8746.97;156.64;1083.74;3152.71;2.46;20.69;847.29;157.64
q1to242;451383;Toledo;41;1;242;2.044;49.976;165.58;5489.29;109;1584.16;2054.46;2.97;13.86;445.54;200.99
q1to243;451383;Toledo;42;2;243;1.354;48.654;163.4;6265.99;142.89;2079.21;2970.3;3.47;14.85;336.63;340.59
q1to244;451383;Toledo;43;3;244;1.831;49.021;166.54;6261.90;110.65;1532.66;3090.45;3.52;23.12;452.26;155.78
q1to245;451383;Toledo;44;4;245;1.258;48.332;138.71;6204.56;98.35;1397.06;3406.86;2.45;15.69;480.39;151.96
q1to246;451383;Toledo;45;8;246;1.327;48.129;144.07;5382.70;92.64;1626.21;3228.16;2.43;13.59;388.35;197.09
q1to292;450203;Toledo;46;1;292;1.373;46.801;261.2;5858.72;97.39;1893.2;7500;2.91;28.16;1563.11;160.19
q1to293;450203;Toledo;47;2;293;1.182;46.811;252.04;5573.11;92.64;2063.11;8131.07;2.43;26.21;1009.71;124.27
q1to294;450203;Toledo;48;3;294;1.369;47.354;269.25;5877.64;104.16;1856.44;5346.53;2.48;31.68;1207.92;105.94
q1to296;450203;Toledo;50;6;296;1.537;47.898;220.24;4474.12;103.14;1813.73;4289.22;2.94;21.57;921.57;111.76
q1ca330;110397;Cadiz;51;3;330;1.241;49.038;128.61;5519.52;265.71;1009.62;5793.27;2.88;19.23;461.54;59.62
q1ca331;110397;Cadiz;52;4;331;0.942;46.512;214.72;6049.12;216.07;1262.14;5242.72;2.43;25.24;388.35;155.34
q1ca332;110397;Cadiz;53;5;332;1.479;47.564;244.61;5708.10;378.54;1346.15;9519.23;4.81;23.08;259.62;320.19
q1ca333;110397;Cadiz;54;6;333;1.291;48.174;177.99;3353.37;326.85;1014.85;7277.23;3.96;29.7;306.93;160.4
q1ca334;110397;Cadiz;55;7;334;1.1;48.697;188.98;4540.90;352.8;895.52;5472.64;2.99;23.88;398.01;186.07
q1ca356;110085;Cadiz;56;1;356;1.202;47.972;148.63;4563.60;202.99;1725;9075;4.5;17;160;1090
q1ca357;110085;Cadiz;57;2;357;1.132;47.393;138.24;5151.95;266.56;1175;7350;5;17;230;1270
q1ca358;110085;Cadiz;58;3;358;1.393;47.459;159.28;3174.91;167.93;1442.79;6691.54;4.48;10.95;268.66;490.55
q1ca359;110085;Cadiz;59;4;359;1.001;48.603;125.53;3143.63;248.17;1847.29;5960.59;3.94;11.82;226.6;323.15
q1ca360;110085;Cadiz;60;6;360;1.2;48.488;191.7;3822.36;209.29;2187.5;6081.73;3.37;17.31;471.15;416.35
q1ca391;110158;Cadiz;62;2;391;1.156;47.193;809.62;5642.24;951;1675;11475;6;37;80;438
