;Provincia;Estadillo;Sp;ABiomass_3;ABiomass_2;AB3_Mgha;AB2_Mgha;A_RGR;B_BP_Mgha;N_Trees;Tree_dens;CoorXp;CoorYp;Arid_Koppen;Arid_Emberg;Arid_Dm;MAT;MAP;T_Cold_M;PET;Aridity4;Arid_Pal;ai_chelsa;grad_Kop;grad_Emb;grad_Dm;grad_MAT;grad_MAP;grad_TCM;grad_pet;grad4;grad_Pal;grad_chelsa
1;Cadiz;85;Quercus ilex;6199.230638;5346.202621;31.57242242;27.2279864;0.000278001;0.394948729;1;0.04;307991;4080036;4.197802198;5.399859033;1.771799629;149;764;36;1150;6660;0.68;71.10106043;3;2;2;8;4;7;7;3;8;8
2;Cadiz;94;Quercus ilex;5354.978916;5325.306447;45.2915386;43.46969576;0.000644049;0.165622076;9;0.62;272971;4073965;4.127659574;5.213668601;1.786824472;155;776;44;1133;6804;1.08;80.41241313;3;2;2;8;5;8;7;3;10;10
3;Cadiz;158;Quercus ilex;7311.849979;6764.736515;44.34482582;41.34649521;0.000367052;0.27257551;4;0.213333333;279011;4076959;4.188172043;5.317602643;1.772065514;153;779;41;1139;6892;0.68;80.21782918;3;2;2;8;5;7;7;3;8;10
4;Cadiz;160;Quercus ilex;6005.861673;5903.028396;45.28840749;42.45662471;0.000371517;0.257434798;9;0.62;277014;4075980;4.015789474;5.051913123;1.73499784;157;763;46;1143;6657;1.08;75.08947031;2;2;2;8;4;8;7;3;10;9
5;Cadiz;397;Quercus ilex;997.2514232;881.3184529;25.52487334;22.24358258;0.000466819;0.29829916;9;1.1;252978;4052053;4.041450777;5.049773756;1.878205591;160;780;57;1061;7332;1.08;81.13580008;2;2;2;8;5;8;5;3;10;10
6;Cordoba;897;Quercus ilex;3214.799384;2939.618485;45.48010788;41.58709451;0.00046123;0.353910306;1;0.066666667;333994;4214038;3.176767677;4.113082707;1.069509624;165;629;31;1315;4828;0.6;76.351974;2;1;1;9;3;7;9;2;7;9
7;Cordoba;933;Quercus ilex;8394.073755;7322.517458;71.83565534;62.13687634;0.000650945;0.881707182;4;0.213333333;319995;4209987;3.416666667;4.458579882;1.159604744;159;656;26;1306;5015;0.51;73.91707167;2;2;1;8;4;6;9;2;7;8
8;Cordoba;1353;Quercus ilex;1964.282046;1658.382612;31.0307636;29.27550505;0.000563615;0.159568959;4;0.333333333;345969;4203987;3.165829146;4.073927477;1.067923313;166;630;33;1317;4783;0.3;74.08788737;2;1;1;9;3;7;9;2;6;8
9;Cordoba;1364;Quercus ilex;1135.816033;811.6684737;17.91126837;22.49163243;0.000401802;-0.416396733;9;1.1;347957;4201958;3.135;4.012522135;1.056640658;167;627;35;1320;4742;0.3;72.0116639;2;1;1;9;3;7;10;2;6;8
10;Cordoba;1372;Quercus ilex;3880.136145;4062.210676;28.73001467;27.37079414;0.000371077;0.123565502;4;0.213333333;343953;4199988;2.995169082;3.787147635;1.01826304;174;620;40;1338;4633;0.3;76.76374361;2;1;1;10;3;7;10;2;6;9
11;Lugo;2894;Quercus ilex;95.60942255;60.65091397;12.17336978;7.722314218;0.00030945;0.404641415;1;0.2;647000;4689000;5.061349693;8.196174678;2.272414268;130;825;19;996;8343;-0.42;60.36502709;3;3;3;6;5;6;4;4;1;6
12;Ourense;575;Quercus ilex;967.4856199;780.5465855;13.68712168;11.04247534;0.000282851;0.240422395;1;0.066666667;664000;4697000;4.697530864;7.703391572;2.104768227;129;761;17;1004;7629;-0.42;57.3237846;3;3;2;6;4;6;5;4;1;5
13;Ourense;580;Quercus ilex;865.0070219;619.5680613;21.5120111;15.2759973;0.000486268;0.566910345;4;0.333333333;674000;4697000;4.425925926;7.347846841;1.95474373;129;717;16;1010;7138;-0.47;61.4629943;3;3;2;6;4;6;5;3;1;6
14;Ourense;602;Quercus ilex;549.8266716;431.2399598;7.778456243;9.42119082;0.000189808;-0.149339507;4;0.333333333;653000;4693000;4.841463415;7.90608719;2.194825299;131;794;20;1003;7956;-0.42;64.67717258;3;3;3;6;5;6;5;4;1;7
